id,tip_amount,VendorID_2,VendorID_1,passenger_count,trip_distance,RatecodeID_one,RatecodeID_two,RatecodeID_five,RatecodeID_three,RatecodeID_four,store_and_fwd_flag_N,store_and_fwd_flag_Y,PULocationID_OTHER,PULocationID_236,PULocationID_186,PULocationID_161,PULocationID_230,PULocationID_237,PULocationID_234,PULocationID_162,PULocationID_48,PULocationID_170,DOLocationID_236,DOLocationID_OTHER,DOLocationID_186,DOLocationID_48,DOLocationID_230,DOLocationID_170,DOLocationID_161,DOLocationID_234,DOLocationID_237,DOLocationID_162,payment_type_one,payment_type_two,payment_type_three,payment_type_four,fare_amount,extra,mta_tax,tolls_amount,improvement_surcharge,total_amount,trip_seconds,pickup_hour,pickup_min,pickup_sec,dropoff_hour,dropoff_min,dropoff_sec,trip_day
4590,2.22,0.0,1.0,0.0,0.053514959863780104,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6908585875919319,0.1111111111111111,1.0,0.0,0.0,0.5577589446961978,0.006954102920723227,0.17391304347826086,0.11864406779661017,0.0,0.17391304347826086,0.3050847457627119,0.0,0.3666666666666667
4591,0.0,0.0,1.0,0.0,0.014594989053758209,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6109982166160244,0.0,1.0,0.0,0.0,0.41940877005347743,0.0020862308762169685,0.4782608695652174,0.22033898305084745,0.0,0.4782608695652174,0.288135593220339,0.0,0.7333333333333333
4593,1.0,1.0,0.0,0.2,0.0350279737290197,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.695738190667772,0.2222222222222222,1.0,0.0,0.0,0.5553351679373515,0.009735744089012517,0.8260869565217391,0.7457627118644068,0.0,0.8260869565217391,1.0,0.0,0.0
4594,2.26,1.0,0.0,0.2,0.05302846022865483,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.695738190667772,0.0,1.0,0.0,0.0,0.5581953907947677,0.0076495132127955496,0.34782608695652173,0.22033898305084745,0.0,0.34782608695652173,0.423728813559322,0.0,0.6666666666666666
4597,3.16,1.0,0.0,0.0,0.052055460958404284,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7245098570373488,0.2222222222222222,1.0,0.0,0.0,0.6077178644627075,0.013908205841446454,0.6956521739130435,0.8135593220338984,0.0,0.7391304347826086,0.15254237288135594,0.0,0.7333333333333333
4599,1.46,1.0,0.0,0.2,0.028460228654828508,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.6477751161962544,0.0,1.0,0.0,0.0,0.4936449481173105,0.0048678720445062594,0.3913043478260869,0.2033898305084746,0.0,0.3913043478260869,0.3389830508474576,0.0,0.7333333333333333
4602,1.85,0.0,1.0,0.0,0.048649963512527365,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.668541549355178,0.1111111111111111,1.0,0.0,0.0,0.5292855279426593,0.0034770514603616135,1.0,0.1694915254237288,0.0,1.0,0.2711864406779661,0.0,0.03333333333333333
4605,1.89,1.0,0.0,0.0,0.01532473850644612,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.631067699051207,0.0,1.0,0.0,0.0,0.48370491317229125,0.0034770514603616135,0.43478260869565216,0.6610169491525424,0.0,0.43478260869565216,0.7627118644067796,0.0,0.9666666666666667
4609,3.96,1.0,0.0,0.0,0.144003891997081,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7496443217008399,0.2222222222222222,1.0,0.0,0.0,0.6410579451197839,0.008344923504867872,0.7826086956521738,0.5254237288135594,0.0,0.7826086956521738,0.7457627118644068,0.0,0.8666666666666667
4614,1.58,1.0,0.0,0.0,0.10557042082218437,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7314099737647628,0.0,1.0,0.0,0.0,0.5948630736295493,0.008344923504867872,0.34782608695652173,0.559322033898305,0.0,0.34782608695652173,0.7796610169491526,0.0,0.7666666666666667
